,query,value
0,travertine lamp,93950
1,travertine side table,93200
2,how to clean travertine tiles,27850
3,travertine console table,25100
4,travertine hot springs,9850
5,travertine coffee table,500
6,travertine table,500
7,travertine dining table,400
8,travertine table lamp,300
9,limestone,80
10,travertine outdoor tiles,60
11,travertine cleaner,50
12,travertine paver,50
13,what is travertine,40
