,query,value
0,concrete driveway contractor near me,11050
1,concrete driveway contractor,200
2,concrete driveway contractors near me,110
3,concrete contractors near me,110
4,best paint for concrete driveway,100
5,asphalt vs concrete driveway,70
6,concrete driveway replacement,70
7,concrete driveway contractors,50
8,concrete driveway repair cost,50
9,concrete driveway crack filler,40
10,how much for concrete driveway,40
