miles,place,geoid,lat,lon,lsad
36.2,Mount Plymouth CDP,1247125,28.803875,-81.53449,57
36.5,Howey-in-the-Hills town,1232775,28.704409,-81.784045,43
36.6,Highland City CDP,1230225,27.963473,-81.878623,57
37.0,Sorrento CDP,1266975,28.80909,-81.563611,57
37.1,Lakeland city,1238250,28.055496,-81.954772,25
37.2,Mascotte city,1243425,28.604341,-81.905549,25
37.7,Bartow city,1203675,27.886803,-81.821758,25
38.2,Frostproof city,1224900,27.748894,-81.526465,25
38.5,Mount Dora city,1247050,28.813349,-81.633411,25
38.5,Port St. John CDP,1258700,28.475701,-80.810424,57
39.0,Cocoa West CDP,1213225,28.359044,-80.77129,57
39.0,Tavares city,1271225,28.765875,-81.756384,25
39.6,Cocoa city,1213150,28.376643,-80.763306,25
40.2,Yalaha CDP,1278900,28.744711,-81.822504,57
40.3,Kathleen CDP,1235950,28.119175,-82.040006,57
40.4,Lakeland Highlands CDP,1238262,27.957379,-81.951054,57
40.7,Sharpes CDP,1265525,28.443598,-80.7614,57
40.7,Titusville city,1271900,28.573368,-80.819404,25
40.7,Viera West CDP,1274370,28.245184,-80.740313,57
40.8,Rockledge city,1261500,28.321362,-80.737823,25
41.0,DeBary city,1216675,28.881398,-81.32427,25
41.5,Homeland CDP,1232250,27.818138,-81.826981,57
41.9,Medulla CDP,1243925,27.958507,-81.981212,57
