,query,value
0,stamped concrete patio,100
1,stamped concrete driveway,64
2,stamped concrete cost,58
3,stamped concrete near me,54
4,stamped concrete pool deck,29
5,what is stamped concrete,27
6,wood stamped concrete,18
7,stamped concrete contractors near me,15
8,stamped concrete patterns,14
9,stamped concrete patio ideas,8
10,stamped concrete patio near me,5
