,query,value
0,how to repair stucco,100
1,stucco repair near me,83
2,stucco repair orlando,69
3,stucco crack repair,53
4,repair stucco cracks,51
5,exterior stucco repair,46
6,stucco repair cost,34
7,stucco patch,26
8,stucco patch repair,25
9,stucco repair home depot,20
10,stucco repair melbourne fl,18
11,stucco repair kit,13
12,how to do stucco repair,11
13,quikrete stucco repair,9
14,diy stucco repair,5
